Time(s),Vc(V)
0,0
0.05,0.112355
0.1,0.222185
0.15,0.329547
0.2,0.434496
0.25,0.537088
0.3,0.637374
0.35,0.735406
0.4,0.831235
0.45,0.924912
0.5,1.01648
0.55,1.106
0.6,1.1935
0.65,1.27903
0.7,1.36265
0.75,1.44438
0.8,1.52428
0.85,1.60238
0.9,1.67873
0.95,1.75336
1,1.82632
1.05,1.89763
1.1,1.96735
1.15,2.03549
1.2,2.10211
1.25,2.16723
1.3,2.23088
1.35,2.29311
1.4,2.35393
1.45,2.41339
1.5,2.47152
1.55,2.52833
1.6,2.58387
1.65,2.63817
1.7,2.69124
1.75,2.74312
1.8,2.79383
1.85,2.84341
1.9,2.89187
1.95,2.93924
2,2.98555
2.05,3.03082
2.1,3.07506
2.15,3.11832
2.2,3.1606
2.25,3.20194
2.3,3.24234
2.35,3.28184
2.4,3.32045
2.45,3.35819
2.5,3.39508
2.55,3.43114
2.6,3.4664
2.65,3.50086
2.7,3.53455
2.75,3.56748
2.8,3.59967
2.85,3.63113
2.9,3.66189
2.95,3.69196
3,3.72135
3.05,3.75009
3.1,3.77817
3.15,3.80563
3.2,3.83247
3.25,3.8587
3.3,3.88435
3.35,3.90942
3.4,3.93393
3.45,3.95788
3.5,3.9813
3.55,4.00419
3.6,4.02657
3.65,4.04844
3.7,4.06982
3.75,4.09072
3.8,4.11116
3.85,4.13113
3.9,4.15065
3.95,4.16974
4,4.1884
4.05,4.20663
4.1,4.22446
4.15,4.24189
4.2,4.25892
4.25,4.27558
4.3,4.29186
4.35,4.30777
4.4,4.32332
4.45,4.33853
4.5,4.35339
4.55,4.36792
4.6,4.38213
4.65,4.39601
4.7,4.40958
4.75,4.42285
4.8,4.43582
4.85,4.4485
4.9,4.46089
4.95,4.473
5,4.48485
5.05,4.49642
5.1,4.50774
5.15,4.5188
5.2,4.52961
5.25,4.54018
5.3,4.55052
5.35,4.56062
5.4,4.57049
5.45,4.58014
5.5,4.58958
5.55,4.5988
5.6,4.60781
5.65,4.61663
5.7,4.62524
5.75,4.63366
5.8,4.64189
5.85,4.64994
5.9,4.65781
5.95,4.6655
6,4.67301
6.05,4.68036
6.1,4.68754
6.15,4.69456
6.2,4.70143
6.25,4.70814
6.3,4.7147
6.35,4.72111
6.4,4.72737
6.45,4.7335
6.5,4.73949
6.55,4.74534
6.6,4.75106
6.65,4.75666
6.7,4.76213
6.75,4.76747
6.8,4.7727
6.85,4.7778
6.9,4.7828
6.95,4.78768
7,4.79245
7.05,4.79711
7.1,4.80167
7.15,4.80613
7.2,4.81049
7.25,4.81474
7.3,4.81891
7.35,4.82298
7.4,4.82695
7.45,4.83084
7.5,4.83464
7.55,4.83836
7.6,4.84199
7.65,4.84554
7.7,4.84901
7.75,4.85241
7.8,4.85572
7.85,4.85896
7.9,4.86213
7.95,4.86523
8,4.86826
8.05,4.87122
8.1,4.87411
8.15,4.87694
8.2,4.87971
8.25,4.88241
8.3,4.88505
8.35,4.88764
8.4,4.89016
8.45,4.89263
8.5,4.89504
8.55,4.8974
8.6,4.89971
8.65,4.90196
8.7,4.90416
8.75,4.90632
8.8,4.90842
8.85,4.91048
8.9,4.91249
8.95,4.91446
9,4.91638
9.05,4.91826
9.1,4.9201
9.15,4.92189
9.2,4.92365
9.25,4.92536
9.3,4.92704
9.35,4.92868
9.4,4.93028
9.45,4.93185
9.5,4.93338
9.55,4.93488
9.6,4.93634
9.65,4.93777
9.7,4.93917
9.75,4.94054
9.8,4.94187
9.85,4.94318
9.9,4.94446
9.95,4.9457
10,4.94692